season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2013/2014,Robin van Persie,Manchester United,89,ST,Netherlands,EPL,4,4,,,183cm,71kg,30
2013/2014,Sergio Agüero,Manchester City,88,ST,Argentina,EPL,4,4,,,175cm,74kg,25
2013/2014,David Silva,Manchester City,88,LM,Spain,EPL,4,2,,,171cm,67kg,28
2013/2014,Wayne Rooney,Manchester United,87,CF,England,EPL,3,4,,,176cm,83kg,28
2013/2014,Nemanja Vidić,Manchester United,87,CB,Serbia,EPL,2,3,,,189cm,88kg,32
2013/2014,Mesut Özil,Arsenal,87,CAM,Germany,EPL,4,2,,,183cm,70kg,25
2013/2014,Juan Mata,Chelsea,87,CAM,Spain,EPL,4,3,,,170cm,63kg,26
2013/2014,Yaya Touré,Manchester City,86,CM,Ivory Coast,EPL,3,4,,,187cm,90kg,31
2013/2014,Vincent Kompany,Manchester City,86,CB,Belgium,EPL,2,3,,,192cm,85kg,28
2013/2014,Luis Suárez,Liverpool,86,ST,Uruguay,EPL,4,4,,,181cm,81kg,27
2013/2014,Ashley Cole,Chelsea,85,LB,England,EPL,3,2,,,176cm,66kg,33
2013/2014,Petr Cech,Chelsea,85,GK,Czech Republic,EPL,1,3,,,196cm,90kg,32
2013/2014,Jesús Navas,Manchester City,85,RM,Spain,EPL,4,3,,,170cm,60kg,28
2013/2014,Santi Cazorla,Arsenal,85,LM,Spain,EPL,4,5,,,168cm,66kg,29
2013/2014,Eden Hazard,Chelsea,85,LM,Belgium,EPL,4,4,,,172cm,74kg,23
2013/2014,Samuel Eto'o,Chelsea,84,ST,Cameroon,EPL,4,3,,,180cm,75kg,33
2013/2014,Soldado,Tottenham Hotspur,84,ST,Spain,EPL,3,3,,,179cm,72kg,28
2013/2014,Samir Nasri,Manchester City,84,LM,France,EPL,4,4,,,177cm,75kg,26
2013/2014,Hugo Lloris,Tottenham Hotspur,84,GK,France,EPL,1,1,,,188cm,73kg,27
2013/2014,Stevan Jovetic,Manchester City,84,ST,Montenegro,EPL,4,4,,,185cm,79kg,24
2013/2014,Rio Ferdinand,Manchester United,83,CB,England,EPL,2,3,,,196cm,86kg,35
2013/2014,John Terry,Chelsea,83,CB,England,EPL,2,4,,,187cm,90kg,33
2013/2014,Steven Gerrard,Liverpool,83,CM,England,EPL,3,3,,,183cm,83kg,33
2013/2014,Nani,Manchester United,83,RM,Portugal,EPL,5,4,,,175cm,66kg,27
2013/2014,Negredo,Manchester City,83,ST,Spain,EPL,3,3,,,186cm,79kg,28
2013/2014,Joe Hart,Manchester City,83,GK,England,EPL,1,3,,,196cm,91kg,27
2013/2014,Leighton Baines,Everton,83,LB,England,EPL,3,3,,,170cm,70kg,29
2013/2014,Antonio Valencia,Manchester United,83,RM,Ecuador,EPL,4,2,,,181cm,78kg,28
2013/2014,Willian,Chelsea,83,RM,Brazil,EPL,4,4,,,174cm,75kg,25
2013/2014,Edin Džeko,Manchester City,83,ST,Bosnia Herzegovina,EPL,3,4,,,193cm,84kg,28
2013/2014,Shinji Kagawa,Manchester United,83,LM,Japan,EPL,4,4,,,172cm,64kg,25
2013/2014,Michael Carrick,Manchester United,82,CM,England,EPL,2,3,,,188cm,74kg,32
2013/2014,Mikel Arteta Amatriain,Arsenal,82,CDM,Spain,EPL,3,4,,,175cm,64kg,32
2013/2014,Fernando Torres,Chelsea,82,ST,Spain,EPL,3,4,,,183cm,81kg,30
2013/2014,Patrice Evra,Manchester United,82,LB,France,EPL,3,2,,,173cm,73kg,33
2013/2014,Martín Demichelis,Manchester City,82,CB,Argentina,EPL,2,3,,,184cm,78kg,33
2013/2014,Pablo Zabaleta,Manchester City,82,RB,Argentina,EPL,3,3,,,177cm,76kg,29
2013/2014,Daniel Agger,Liverpool,82,CB,Denmark,EPL,2,3,,,191cm,79kg,29
2013/2014,Ashley Young,Manchester United,82,LM,England,EPL,4,3,,,175cm,61kg,28
2013/2014,Yohan Cabaye,Newcastle United,82,CM,France,EPL,3,4,,,175cm,72kg,28
2013/2014,Jan Vertonghen,Tottenham Hotspur,82,CB,Belgium,EPL,3,3,,,189cm,86kg,27
2013/2014,Javier Hernández,Manchester United,82,ST,Mexico,EPL,3,3,,,175cm,61kg,25
2013/2014,David Luiz,Chelsea,82,CB,Brazil,EPL,3,3,,,189cm,84kg,27
2013/2014,Oscar,Chelsea,82,CAM,Brazil,EPL,4,3,,,179cm,68kg,22
2013/2014,Jack Wilshere,Arsenal,82,CM,England,EPL,3,3,,,173cm,68kg,22
2013/2014,Christian Eriksen,Tottenham Hotspur,82,LM,Denmark,EPL,4,5,,,177cm,71kg,22
2013/2014,De Gea,Manchester United,82,GK,Spain,EPL,1,3,,,193cm,82kg,23
2013/2014,Frank Lampard,Chelsea,81,CM,England,EPL,3,4,,,184cm,89kg,35
2013/2014,Tim Howard,Everton,81,GK,United States,EPL,1,3,,,191cm,88kg,35
2013/2014,Michaël Essien,Chelsea,81,CDM,Ghana,EPL,3,4,,,177cm,85kg,31
2013/2014,Fabricio Coloccini,Newcastle United,81,CB,Argentina,EPL,2,4,,,184cm,83kg,32
