season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2016/2017,Ibrahimovic,Manchester Utd,90,ST,Sweden,EPL,4,4,M,L,195cm,95kg,35
2016/2017,De Gea,Manchester Utd,90,GK,Spain,EPL,1,3,M,M,193cm,82kg,26
2016/2017,Agüero,Manchester City,89,ST,Argentina,EPL,4,4,H,M,172cm,74kg,28
2016/2017,Özil,Arsenal,89,CAM,Germany,EPL,4,2,M,L,183cm,76kg,28
2016/2017,Courtois,Chelsea,89,GK,Belgium,EPL,1,3,M,M,199cm,91kg,25
2016/2017,Hazard,Chelsea,89,LW,Belgium,EPL,4,4,H,M,173cm,74kg,26
2016/2017,Cech,Arsenal,88,GK,Czech Republic,EPL,1,3,M,M,196cm,90kg,35
2016/2017,Lloris,Spurs,88,GK,France,EPL,1,1,M,M,188cm,78kg,30
2016/2017,Hazard,Chelsea,88,LM,Belgium,EPL,4,4,H,M,173cm,74kg,26
2016/2017,De Bruyne,Manchester City,88,CAM,Belgium,EPL,4,4,H,M,181cm,76kg,25
2016/2017,Pogba,Manchester Utd,88,CM,France,EPL,5,4,H,M,191cm,84kg,24
2016/2017,Sánchez,Arsenal,88,ST,Chile,EPL,4,3,H,H,169cm,62kg,28
2016/2017,David Silva,Manchester City,87,CAM,Spain,EPL,4,2,H,L,170cm,67kg,31
2016/2017,Sánchez,Arsenal,87,LW,Chile,EPL,4,3,H,H,169cm,62kg,28
2016/2017,Kompany,Manchester City,86,CB,Belgium,EPL,2,3,M,M,192cm,85kg,31
2016/2017,Santi Cazorla,Arsenal,86,CAM,Spain,EPL,4,5,M,M,168cm,66kg,32
2016/2017,Cesc Fàbregas,Chelsea,86,CM,Spain,EPL,3,3,H,M,175cm,74kg,30
2016/2017,Payet,West Ham,86,LM,France,EPL,4,4,H,M,175cm,77kg,30
2016/2017,Coutinho,Liverpool,86,LW,Brazil,EPL,4,4,H,M,171cm,68kg,24
2016/2017,Diego Costa,Chelsea,86,ST,Spain,EPL,3,4,H,M,188cm,85kg,28
2016/2017,Mandanda,Crystal Palace,85,GK,France,EPL,1,3,M,M,185cm,82kg,32
2016/2017,Koscielny,Arsenal,85,CB,France,EPL,2,3,M,H,186cm,75kg,31
2016/2017,Bravo,Manchester City,85,GK,Chile,EPL,1,3,M,M,184cm,80kg,34
2016/2017,Diego Costa,Chelsea,85,ST,Spain,EPL,3,4,H,M,188cm,85kg,28
2016/2017,Willian,Chelsea,85,RM,Brazil,EPL,4,4,H,H,175cm,75kg,28
2016/2017,Alderweireld,Spurs,85,CB,Belgium,EPL,2,3,M,M,186cm,81kg,28
2016/2017,Gündogan,Manchester City,85,CM,Germany,EPL,4,4,H,M,180cm,80kg,26
2016/2017,Coutinho,Liverpool,85,CAM,Brazil,EPL,4,4,H,M,171cm,68kg,24
2016/2017,Otamendi,Manchester City,85,CB,Argentina,EPL,2,3,M,M,183cm,81kg,29
2016/2017,Mkhitaryan,Manchester Utd,85,RM,Armenia,EPL,4,5,H,H,177cm,75kg,28
2016/2017,Mahrez,Leicester City,85,RM,Algeria,EPL,5,4,M,M,179cm,62kg,26
2016/2017,Kane,Spurs,85,ST,England,EPL,3,3,H,H,188cm,65kg,23
2016/2017,Eriksen,Spurs,85,CAM,Denmark,EPL,4,5,H,M,177cm,71kg,25
2016/2017,Lacazette,Arsenal,85,ST,France,EPL,4,4,H,H,175cm,73kg,25
2016/2017,Terry,Chelsea,84,CB,England,EPL,2,4,M,H,187cm,90kg,36
2016/2017,Touré,Manchester City,84,CM,Ivory Coast,EPL,3,4,M,L,189cm,90kg,34
2016/2017,Rooney,Manchester Utd,84,CAM,England,EPL,3,4,M,H,176cm,83kg,31
2016/2017,Sturridge,Liverpool,84,ST,England,EPL,4,2,M,L,188cm,76kg,27
2016/2017,Juan Mata,Manchester Utd,84,CAM,Spain,EPL,3,3,M,M,170cm,63kg,29
2016/2017,David Luiz,Chelsea,84,CB,Brazil,EPL,3,3,H,M,189cm,84kg,30
2016/2017,Azpilicueta,Chelsea,84,LB,Spain,EPL,3,3,M,M,178cm,75kg,27
2016/2017,Ramsey,Arsenal,84,CM,Wales,EPL,3,3,H,H,177cm,70kg,26
2016/2017,Smalling,Manchester Utd,84,CB,England,EPL,2,3,M,H,192cm,90kg,27
2016/2017,Eriksen,Spurs,84,CAM,Denmark,EPL,4,5,H,M,177cm,71kg,25
2016/2017,Matic,Chelsea,84,CDM,Serbia,EPL,3,3,M,H,194cm,84kg,28
2016/2017,Lukaku,Everton,84,ST,Belgium,EPL,3,4,M,M,190cm,94kg,24
2016/2017,Xhaka,Arsenal,84,CM,Switzerland,EPL,3,4,M,M,185cm,82kg,24
2016/2017,Kane,Spurs,84,ST,England,EPL,3,3,H,H,188cm,65kg,23
2016/2017,Mandanda,Crystal Palace,84,GK,France,EPL,1,3,M,M,185cm,82kg,32
2016/2017,Otamendi,Manchester City,84,CB,Argentina,EPL,2,3,M,M,183cm,81kg,29
2016/2017,Lukaku,Manchester Utd,84,ST,Belgium,EPL,3,4,M,M,190cm,94kg,24
2016/2017,Rooney,Everton,84,CAM,England,EPL,3,4,M,H,176cm,83kg,31
2016/2017,Hart,West Ham,84,GK,England,EPL,1,3,M,M,196cm,91kg,30
2016/2017,Matic,Manchester Utd,84,CDM,Serbia,EPL,3,3,M,H,194cm,84kg,28
2016/2017,Mertesacker,Arsenal,83,CB,Germany,EPL,2,3,L,M,198cm,90kg,32
2016/2017,Schweinsteiger,Manchester Utd,83,CM,Germany,EPL,3,3,H,H,183cm,79kg,32
2016/2017,Baines,Everton,83,LB,England,EPL,3,3,H,M,170cm,70kg,32
2016/2017,Williams,Everton,83,CB,Wales,EPL,2,4,M,H,182cm,91kg,32
2016/2017,Cahill,Chelsea,83,CB,England,EPL,2,3,M,M,193cm,86kg,31
2016/2017,José Fonte,Southampton,83,CB,Portugal,EPL,2,3,M,H,187cm,81kg,33
2016/2017,Begovic,Chelsea,83,GK,Bosnia Herzegovina,EPL,1,2,M,M,200cm,83kg,29
2016/2017,Vertonghen,Spurs,83,CB,Belgium,EPL,2,3,H,M,189cm,86kg,30
2016/2017,Giroud,Arsenal,83,ST,France,EPL,2,3,M,M,192cm,88kg,30
2016/2017,Oscar,Chelsea,83,CAM,Brazil,EPL,4,3,M,H,179cm,67kg,25
2016/2017,Pedro,Chelsea,83,LM,Spain,EPL,4,5,H,M,167cm,62kg,29
2016/2017,Mustafi,Arsenal,83,CB,Germany,EPL,2,3,M,H,184cm,82kg,25
2016/2017,Nolito,Manchester City,83,LW,Spain,EPL,4,3,H,L,175cm,72kg,30
2016/2017,Slimani,Leicester City,83,ST,Algeria,EPL,2,3,H,H,188cm,84kg,28
2016/2017,José Fonte,West Ham,83,CB,Portugal,EPL,2,3,M,H,187cm,81kg,33
2016/2017,Ander Herrera,Manchester Utd,83,CM,Spain,EPL,4,4,H,H,182cm,73kg,27
2016/2017,Matip,Liverpool,83,CB,Cameroon,EPL,2,2,M,M,195cm,90kg,25
2016/2017,Bravo,Manchester City,83,GK,Chile,EPL,1,3,M,M,184cm,80kg,34
2016/2017,Lallana,Liverpool,83,CM,England,EPL,4,5,H,M,172cm,73kg,29
2016/2017,Roberto Firmino,Liverpool,83,ST,Brazil,EPL,4,4,H,M,181cm,76kg,25
2016/2017,Kanté,Chelsea,83,CM,France,EPL,3,3,M,H,169cm,69kg,26
2016/2017,Begovic,Bournemouth,83,GK,Bosnia Herzegovina,EPL,1,2,M,M,200cm,83kg,29
2016/2017,Hernández,West Ham,83,ST,Mexico,EPL,3,3,M,L,175cm,73kg,28
2016/2017,Jagielka,Everton,82,CB,England,EPL,2,3,M,H,183cm,83kg,34
2016/2017,Victor Valdés,Middlesbrough,82,GK,Spain,EPL,1,3,M,M,183cm,78kg,35
2016/2017,Zabaleta,Manchester City,82,RB,Argentina,EPL,3,3,H,H,178cm,76kg,32
2016/2017,Dembélé,Spurs,82,CM,Belgium,EPL,4,2,M,M,185cm,82kg,29
2016/2017,Sagna,Manchester City,82,RB,France,EPL,3,4,H,M,176cm,72kg,34
2016/2017,Bojan,Stoke City,82,CAM,Spain,EPL,4,4,H,L,170cm,65kg,26
2016/2017,Schneiderlin,Manchester Utd,82,CDM,France,EPL,2,3,M,H,185cm,75kg,27
2016/2017,Coleman,Everton,82,RB,Republic of Ireland,EPL,3,3,H,H,177cm,77kg,28
2016/2017,Lallana,Liverpool,82,CAM,England,EPL,4,5,H,M,172cm,73kg,29
2016/2017,Sakho,Liverpool,82,CB,France,EPL,2,2,M,H,187cm,83kg,27
2016/2017,Arnautovic,Stoke City,82,LM,Austria,EPL,4,4,M,M,192cm,83kg,28
2016/2017,Sigurðsson,Swansea City,82,CAM,Iceland,EPL,3,3,H,M,186cm,77kg,27
2016/2017,Wilshere,Bournemouth,82,CM,England,EPL,3,2,M,M,172cm,68kg,25
2016/2017,Ander Herrera,Manchester Utd,82,CM,Spain,EPL,4,4,H,H,182cm,73kg,27
2016/2017,Shaqiri,Stoke City,82,RM,Switzerland,EPL,4,4,H,M,169cm,72kg,25
2016/2017,Lovren,Liverpool,82,CB,Croatia,EPL,2,4,H,H,188cm,84kg,27
2016/2017,Matip,Liverpool,82,CB,Cameroon,EPL,2,2,M,M,195cm,90kg,25
2016/2017,Roberto Firmino,Liverpool,82,CF,Brazil,EPL,4,4,H,M,181cm,76kg,25
2016/2017,Sterling,Manchester City,82,LM,England,EPL,4,2,H,M,170cm,69kg,22
2016/2017,Butland,Stoke City,82,GK,England,EPL,1,3,M,M,196cm,95kg,24
2016/2017,Karius,Liverpool,82,GK,Germany,EPL,1,3,M,M,190cm,87kg,23
2016/2017,Vardy,Leicester City,82,ST,England,EPL,3,3,H,H,178cm,73kg,30
2016/2017,Martial,Manchester Utd,82,LM,France,EPL,4,4,H,M,184cm,76kg,21
2016/2017,Bailly,Manchester Utd,82,CB,Ivory Coast,EPL,2,3,H,M,187cm,77kg,23
2016/2017,Schneiderlin,Everton,82,CDM,France,EPL,2,3,M,H,185cm,75kg,27
2016/2017,Sakho,Crystal Palace,82,CB,France,EPL,2,2,M,H,187cm,83kg,27
2016/2017,Terry,Chelsea,82,CB,England,EPL,2,4,M,H,187cm,90kg,36
2016/2017,Gueye,Everton,82,CM,Senegal,EPL,2,3,M,H,174cm,72kg,27
2016/2017,van Dijk,Southampton,82,CB,Netherlands,EPL,2,3,H,M,193cm,92kg,25
2016/2017,Schweinsteiger,Manchester Utd,82,CM,Germany,EPL,3,3,H,H,183cm,79kg,32
2016/2017,Henderson,Liverpool,82,CDM,England,EPL,3,3,H,H,182cm,67kg,26
2016/2017,Valencia,Manchester Utd,82,RB,Ecuador,EPL,3,1,H,M,181cm,78kg,31
2016/2017,Schmeichel,Leicester City,82,GK,Denmark,EPL,1,3,M,M,185cm,76kg,30
2016/2017,Walker,Spurs,82,RB,England,EPL,2,2,H,M,178cm,70kg,26
2016/2017,Alli,Spurs,82,CAM,England,EPL,3,3,H,M,188cm,76kg,21
2016/2017,Mané,Liverpool,82,RW,Senegal,EPL,4,3,H,M,175cm,75kg,25
2016/2017,Salah,Liverpool,82,RW,Egypt,EPL,4,4,H,M,175cm,72kg,24
2016/2017,Bernardo Silva,Manchester City,82,RM,Portugal,EPL,4,3,M,M,173cm,64kg,22
2016/2017,Zabaleta,West Ham,82,RB,Argentina,EPL,3,3,H,H,178cm,76kg,32
2016/2017,Iborra,Leicester City,82,CDM,Spain,EPL,2,4,M,M,195cm,88kg,29
2016/2017,Roque Mesa,Swansea City,82,CDM,Spain,EPL,2,3,H,H,168cm,64kg,27
2016/2017,Walker,Manchester City,82,RB,England,EPL,2,2,H,M,178cm,70kg,26
2016/2017,Morata,Chelsea,82,ST,Spain,EPL,3,4,H,M,189cm,85kg,24
2016/2017,Arnautovic,West Ham,82,LM,Austria,EPL,4,4,M,M,192cm,83kg,28
2016/2017,Carrick,Manchester Utd,81,CDM,England,EPL,2,3,L,M,188cm,74kg,35
2016/2017,Fernandinho,Manchester City,81,CM,Brazil,EPL,3,4,M,H,176cm,67kg,32
2016/2017,Milner,Liverpool,81,CM,England,EPL,3,4,H,H,176cm,70kg,31
2016/2017,Schmeichel,Leicester City,81,GK,Denmark,EPL,1,3,M,M,185cm,76kg,30
2016/2017,Walcott,Arsenal,81,LM,England,EPL,3,3,M,M,176cm,68kg,28
2016/2017,Cabaye,Crystal Palace,81,CDM,France,EPL,3,4,M,M,174cm,71kg,31
2016/2017,Shawcross,Stoke City,81,CB,England,EPL,2,3,M,H,191cm,76kg,29
2016/2017,Lamela,Spurs,81,RM,Argentina,EPL,4,2,M,M,183cm,70kg,25
2016/2017,Mirallas,Everton,81,LM,Belgium,EPL,4,4,H,M,182cm,70kg,29
2016/2017,Reid,West Ham,81,CB,New Zealand,EPL,2,3,M,H,190cm,87kg,28
2016/2017,Nacho Monreal,Arsenal,81,LB,Spain,EPL,2,3,H,H,178cm,72kg,31
2016/2017,Rémy,Crystal Palace,81,ST,France,EPL,4,3,M,M,185cm,80kg,30
2016/2017,Wijnaldum,Liverpool,81,LM,Netherlands,EPL,3,2,H,M,175cm,74kg,26
2016/2017,Benteke,Crystal Palace,81,ST,Belgium,EPL,3,4,M,M,190cm,83kg,26
2016/2017,Zieler,Leicester City,81,GK,Germany,EPL,1,2,M,M,187cm,73kg,28
2016/2017,McCarthy,Everton,81,CDM,Republic of Ireland,EPL,3,4,M,H,180cm,72kg,26
2016/2017,Walker,Spurs,81,RB,England,EPL,2,2,H,M,178cm,70kg,26
2016/2017,Coquelin,Arsenal,81,CDM,France,EPL,3,3,M,H,178cm,74kg,26
2016/2017,Bony,Stoke City,81,ST,Ivory Coast,EPL,3,4,M,L,182cm,90kg,28
2016/2017,Clyne,Liverpool,81,RB,England,EPL,3,3,H,M,175cm,67kg,26
2016/2017,Blind,Manchester Utd,81,CB,Netherlands,EPL,2,4,H,H,180cm,72kg,27
2016/2017,Pereyra,Watford,81,CM,Argentina,EPL,4,4,H,H,182cm,77kg,26
2016/2017,Barkley,Everton,81,CAM,England,EPL,3,5,M,M,189cm,76kg,23
2016/2017,Lucas Pérez,Arsenal,81,ST,Spain,EPL,4,3,H,M,180cm,78kg,28
2016/2017,Deulofeu,Everton,81,RM,Spain,EPL,4,4,H,L,179cm,73kg,23
2016/2017,Batshuayi,Chelsea,81,ST,Belgium,EPL,3,4,M,L,185cm,78kg,23
2016/2017,Kanté,Chelsea,81,CM,France,EPL,3,3,M,H,169cm,69kg,26
2016/2017,Gabbiadini,Southampton,81,ST,Italy,EPL,3,3,H,L,186cm,81kg,25
2016/2017,Negredo,Middlesbrough,81,ST,Spain,EPL,3,3,M,M,186cm,86kg,31
2016/2017,Rose,Spurs,81,LB,England,EPL,3,3,H,M,173cm,72kg,26
2016/2017,Defoe,Sunderland,81,ST,England,EPL,3,4,M,L,170cm,70kg,34
2016/2017,Defoe,Bournemouth,81,ST,England,EPL,3,4,M,L,170cm,70kg,34
2016/2017,Ederson,Manchester City,81,GK,Brazil,EPL,1,2,M,M,188cm,83kg,23
2016/2017,Debuchy,Arsenal,80,RB,France,EPL,3,3,H,M,177cm,76kg,31
2016/2017,Foster,West Brom,80,GK,England,EPL,1,3,M,M,193cm,90kg,34
2016/2017,Fabianski,Swansea City,80,GK,Poland,EPL,1,2,M,M,190cm,83kg,32
2016/2017,Valencia,Manchester Utd,80,RB,Ecuador,EPL,3,1,H,M,181cm,78kg,31
2016/2017,Rose,Spurs,80,LB,England,EPL,3,3,H,M,173cm,72kg,26
2016/2017,Vorm,Spurs,80,GK,Netherlands,EPL,1,3,M,M,183cm,86kg,33
2016/2017,Huth,Leicester City,80,CB,Germany,EPL,2,3,M,H,191cm,88kg,32
