season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2014/2015,Falcao,Manchester Utd,88,ST,Colombia,EPL,4,4,H,M,177cm,,29
2014/2015,Robin van Persie,Manchester Utd,88,ST,Netherlands,EPL,4,4,M,L,187cm,,31
2014/2015,Eden Hazard,Chelsea,88,LM,Belgium,EPL,4,4,H,M,173cm,,24
2014/2015,Bastian Schweinsteiger,Manchester Utd,88,CM,Germany,EPL,3,3,H,H,183cm,,30
2014/2015,Falcao,Chelsea,88,ST,Colombia,EPL,4,4,H,M,177cm,,29
2014/2015,David Silva,Manchester City,87,LM,Spain,EPL,4,2,H,L,170cm,,29
2014/2015,Mesut Özil,Arsenal,86,CAM,Germany,EPL,4,2,M,L,183cm,,26
2014/2015,Ángel Di María,Manchester Utd,86,CAM,Argentina,EPL,4,2,H,H,180cm,,27
2014/2015,Sergio Agüero,Manchester City,86,ST,Argentina,EPL,4,4,H,L,172cm,,26
2014/2015,Wayne Rooney,Manchester Utd,86,ST,England,EPL,3,4,H,H,176cm,,29
2014/2015,Yaya Touré,Manchester City,86,CM,Ivory Coast,EPL,3,4,M,M,189cm,,32
2014/2015,Vincent Kompany,Manchester City,86,CB,Belgium,EPL,2,3,M,M,192cm,,29
2014/2015,Thibaut Courtois,Chelsea,86,GK,Belgium,EPL,1,3,M,M,199cm,,23
2014/2015,Juan Mata,Manchester Utd,85,CAM,Spain,EPL,4,3,M,M,174cm,,27
2014/2015,Diego Costa,Chelsea,85,ST,Spain,EPL,3,4,H,M,188cm,,26
2014/2015,Hugo Lloris,Spurs,85,GK,France,EPL,1,1,M,M,188cm,,28
2014/2015,Petr Cech,Chelsea,85,GK,Czech Republic,EPL,1,3,M,M,196cm,,33
2014/2015,Cesc Fàbregas,Chelsea,84,CM,Spain,EPL,3,3,H,M,179cm,,28
2014/2015,Santi Cazorla,Arsenal,84,LM,Spain,EPL,4,5,M,M,168cm,,30
2014/2015,Samir Nasri,Manchester City,84,LM,France,EPL,4,4,H,M,175cm,,27
2014/2015,Alexis Sánchez,Arsenal,84,RW,Chile,EPL,4,3,H,M,171cm,,26
