season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2018/2019,De Gea,Manchester United,91,GK,Spain,EPL,1,3,M,M,193cm,76kg,28
2018/2019,Kevin De Bruyne,Manchester City,91,CAM,Belgium,EPL,4,5,H,H,181cm,70kg,27
2018/2019,Eden Hazard,Chelsea,91,LW,Belgium,EPL,4,4,H,M,173cm,74kg,28
2018/2019,Harry Kane,Tottenham Hotspur,90,ST,England,EPL,3,4,H,H,188cm,89kg,25
2018/2019,Sergio Agüero,Manchester City,89,ST,Argentina,EPL,4,4,H,M,173cm,70kg,30
2018/2019,David Silva,Manchester City,89,CAM,Spain,EPL,4,2,H,M,173cm,67kg,33
2018/2019,N'Golo Kanté,Chelsea,89,CDM,France,EPL,2,3,M,H,168cm,68kg,28
2018/2019,Harry Kane,Tottenham Hotspur,89,ST,England,EPL,3,4,H,H,188cm,89kg,25
2018/2019,Paul Pogba,Manchester United,88,CM,France,EPL,5,4,H,L,191cm,84kg,26
2018/2019,Mohamed Salah,Liverpool,88,RW,Egypt,EPL,4,3,H,M,175cm,71kg,26
2018/2019,Christian Eriksen,Tottenham Hotspur,88,CAM,Denmark,EPL,4,5,H,M,181cm,76kg,27
2018/2019,Hugo Lloris,Tottenham Hotspur,88,GK,France,EPL,1,1,M,M,188cm,82kg,32
2018/2019,Gonzalo Higuaín,Chelsea,88,ST,Argentina,EPL,3,4,H,M,186cm,89kg,31
2018/2019,Virgil van Dijk,Liverpool,88,CB,Holland,EPL,2,3,M,M,193cm,92kg,27
2018/2019,Aubameyang,Arsenal,88,ST,Gabon,EPL,4,4,M,L,187cm,80kg,29
2018/2019,Romelu Lukaku,Manchester United,87,ST,Belgium,EPL,3,4,M,M,190cm,94kg,26
2018/2019,Alexis Sánchez,Manchester United,87,LW,Chile,EPL,4,3,H,H,169cm,74kg,30
2018/2019,Jan Vertonghen,Tottenham Hotspur,87,CB,Belgium,EPL,3,3,H,H,189cm,86kg,32
2018/2019,Aubameyang,Arsenal,87,ST,Gabon,EPL,4,4,M,L,187cm,80kg,29
2018/2019,Fernandinho,Manchester City,87,CDM,Brazil,EPL,3,4,M,H,179cm,67kg,34
2018/2019,Alisson,Liverpool,87,GK,Brazil,EPL,1,3,M,M,191cm,91kg,26
2018/2019,Toby Alderweireld,Tottenham Hotspur,87,CB,Belgium,EPL,2,3,M,M,186cm,81kg,30
2018/2019,Nemanja Matic,Manchester United,86,CDM,Serbia,EPL,3,3,M,H,194cm,85kg,30
2018/2019,Ederson,Manchester City,86,GK,Brazil,EPL,1,3,M,M,188cm,86kg,25
2018/2019,Fernandinho,Manchester City,86,CDM,Brazil,EPL,3,4,M,H,179cm,67kg,34
2018/2019,Leroy Sané,Manchester City,86,LW,Germany,EPL,4,3,H,M,183cm,75kg,23
2018/2019,Nicolás Otamendi,Manchester City,86,CB,Argentina,EPL,2,3,H,H,183cm,81kg,31
2018/2019,Azpilicueta,Chelsea,86,CB,Spain,EPL,2,3,M,M,178cm,78kg,29
2018/2019,Roberto Firmino,Liverpool,86,CF,Brazil,EPL,4,4,H,H,181cm,76kg,27
2018/2019,Sadio Mané,Liverpool,86,LW,Senegal,EPL,4,4,H,M,175cm,69kg,27
2018/2019,Mesut Özil,Arsenal,86,CAM,Germany,EPL,4,2,M,L,180cm,76kg,30
2018/2019,Raheem Sterling,Manchester City,85,RW,England,EPL,4,3,H,M,170cm,69kg,24
2018/2019,Vincent Kompany,Manchester City,85,CB,Belgium,EPL,2,3,M,H,190cm,85kg,33
2018/2019,Riyad Mahrez,Manchester City,85,RW,Algeria,EPL,5,4,M,M,179cm,67kg,28
2018/2019,Virgil van Dijk,Liverpool,85,CB,Holland,EPL,2,3,M,M,193cm,92kg,27
2018/2019,Fabinho,Liverpool,85,CDM,Brazil,EPL,3,2,M,M,188cm,78kg,25
2018/2019,Alisson,Liverpool,85,GK,Brazil,EPL,1,3,M,M,191cm,91kg,26
2018/2019,Toby Alderweireld,Tottenham Hotspur,85,CB,Belgium,EPL,2,3,M,M,186cm,81kg,30
2018/2019,Heung Min Son,Tottenham Hotspur,85,LM,Korea Republic,EPL,4,5,H,H,183cm,65kg,26
2018/2019,Alexandre Lacazette,Arsenal,85,ST,France,EPL,4,4,H,M,175cm,73kg,27
2018/2019,Bernardo Silva,Manchester City,84,RW,Portugal,EPL,4,3,H,M,173cm,64kg,24
2018/2019,Ilkay Gündogan,Manchester City,84,CM,Germany,EPL,4,4,H,M,180cm,80kg,28
2018/2019,Kyle Walker,Manchester City,84,RB,England,EPL,2,2,H,H,183cm,70kg,28
2018/2019,Luiz Frello Filho Jorge,Chelsea,84,CM,Italy,EPL,4,3,M,M,180cm,65kg,27
2018/2019,Cesc Fàbregas,Chelsea,84,CM,Spain,EPL,3,3,H,M,180cm,77kg,32
2018/2019,Willian,Chelsea,84,RW,Brazil,EPL,4,4,H,H,175cm,77kg,30
2018/2019,Moussa Dembélé,Tottenham Hotspur,84,CM,Belgium,EPL,4,2,M,M,185cm,82kg,31
2018/2019,Heung Min Son,Tottenham Hotspur,84,LM,Korea Republic,EPL,4,5,H,H,183cm,65kg,26
2018/2019,Dele Alli,Tottenham Hotspur,84,CAM,England,EPL,4,3,H,M,188cm,80kg,23
2018/2019,Davinson Sánchez,Tottenham Hotspur,84,CB,Colombia,EPL,2,3,M,H,187cm,79kg,22
2018/2019,Henrikh Mkhitaryan,Arsenal,84,CAM,Armenia,EPL,4,5,M,M,177cm,75kg,30
2018/2019,Alexandre Lacazette,Arsenal,84,ST,France,EPL,4,4,H,M,175cm,73kg,27
2018/2019,Sokratis,Arsenal,84,CB,Greece,EPL,2,2,M,H,186cm,85kg,30
2018/2019,Bernd Leno,Arsenal,84,GK,Germany,EPL,1,4,M,M,190cm,83kg,27
2018/2019,Kasper Schmeichel,Leicester City,84,GK,Denmark,EPL,1,3,M,M,189cm,89kg,32
2018/2019,Anthony Martial,Manchester United,84,LW,France,EPL,4,3,M,M,184cm,76kg,23
2018/2019,Aymeric Laporte,Manchester City,84,CB,France,EPL,2,3,M,M,189cm,85kg,24
2018/2019,Kepa Arrizabalaga,Chelsea,84,GK,Spain,EPL,1,4,M,M,187cm,85kg,24
2018/2019,Felipe Anderson,West Ham United,84,LM,Brazil,EPL,4,4,H,H,175cm,70kg,26
2018/2019,Anthony Martial,Manchester United,83,LW,France,EPL,4,3,M,M,184cm,76kg,23
2018/2019,Juan Mata,Manchester United,83,RM,Spain,EPL,4,3,M,M,170cm,63kg,31
2018/2019,Aymeric Laporte,Manchester City,83,CB,France,EPL,2,3,M,M,189cm,85kg,24
2018/2019,Gabriel Jesus,Manchester City,83,ST,Brazil,EPL,4,3,H,H,175cm,73kg,22
2018/2019,Mateo Kovacic,Chelsea,83,CM,Croatia,EPL,4,4,H,H,178cm,78kg,25
2018/2019,Morata,Chelsea,83,ST,Spain,EPL,3,4,H,H,189cm,85kg,26
2018/2019,David Luiz,Chelsea,83,CB,Brazil,EPL,3,3,M,M,189cm,84kg,32
2018/2019,Kepa Arrizabalaga,Chelsea,83,GK,Spain,EPL,1,4,M,M,187cm,85kg,24
2018/2019,Naby Keïta,Liverpool,83,CM,Guinea,EPL,4,4,H,M,172cm,64kg,24
2018/2019,Jordan Pickford,Everton,83,GK,England,EPL,1,4,M,M,185cm,77kg,25
2018/2019,Rui Patrício,Wolverhampton Wanderers,83,GK,Portugal,EPL,1,2,M,M,190cm,84kg,31
2018/2019,Andrew Robertson,Liverpool,83,LB,Scotland,EPL,3,2,H,H,178cm,64kg,25
2018/2019,Antonio Valencia,Manchester United,82,RB,Ecuador,EPL,3,2,H,H,180cm,83kg,33
2018/2019,Jesse Lingard,Manchester United,82,CAM,England,EPL,4,3,H,H,175cm,62kg,26
2018/2019,Fred,Manchester United,82,CM,Brazil,EPL,4,4,H,H,169cm,64kg,26
2018/2019,Eric Bailly,Manchester United,82,CB,Côte d'Ivoire,EPL,2,3,M,H,187cm,77kg,25
2018/2019,Ander Herrera,Manchester United,82,CM,Spain,EPL,3,4,H,H,182cm,70kg,29
2018/2019,John Stones,Manchester City,82,CB,England,EPL,3,4,H,M,188cm,70kg,24
2018/2019,Marcos Alonso,Chelsea,82,LB,Spain,EPL,3,3,H,H,188cm,84kg,28
2018/2019,Pedro,Chelsea,82,RW,Spain,EPL,4,5,H,H,169cm,65kg,31
2018/2019,Andreas Christensen,Chelsea,82,CB,Denmark,EPL,2,3,L,M,188cm,78kg,23
2018/2019,Olivier Giroud,Chelsea,82,ST,France,EPL,3,3,M,M,192cm,88kg,32
2018/2019,Jordan Henderson,Liverpool,82,CDM,England,EPL,3,3,H,H,182cm,80kg,28
2018/2019,Georginio Wijnaldum,Liverpool,82,CM,Holland,EPL,4,3,H,H,175cm,69kg,28
2018/2019,Kieran Trippier,Tottenham Hotspur,82,RB,England,EPL,3,4,H,H,178cm,72kg,28
2018/2019,Lucas,Tottenham Hotspur,82,RM,Brazil,EPL,4,3,M,M,174cm,70kg,26
