season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2010/2011,Didier Drogba,Chelsea,88,ST,Ivory Coast,EPL,4,4,,,189cm,91kg,33
2010/2011,Wayne Rooney,Manchester United,88,ST,England,EPL,3,4,,,177cm,79kg,25
2010/2011,Frank Lampard,Chelsea,87,CAM,England,EPL,3,4,,,184cm,88kg,32
2010/2011,Nemanja Vidić,Manchester United,87,CB,Serbia,EPL,2,3,,,189cm,84kg,29
2010/2011,John Terry,Chelsea,86,CB,England,EPL,2,3,,,187cm,90kg,30
2010/2011,Steven Gerrard,Liverpool,86,CAM,England,EPL,3,4,,,183cm,83kg,30
2010/2011,Fernando Torres,Liverpool,86,ST,Spain,EPL,4,4,,,185cm,78kg,27
2010/2011,Carlos Tévez,Manchester City,86,CF,Argentina,EPL,4,3,,,172cm,76kg,27
2010/2011,Cesc Fàbregas,Arsenal,86,CM,Spain,EPL,3,3,,,175cm,70kg,24
2010/2011,Nicolas Anelka,Chelsea,85,ST,France,EPL,3,3,,,183cm,83kg,32
2010/2011,Rio Ferdinand,Manchester United,85,CB,England,EPL,2,3,,,192cm,82kg,32
2010/2011,Robin van Persie,Arsenal,85,CF,Netherlands,EPL,4,3,,,186cm,73kg,27
2010/2011,José Reina,Liverpool,85,GK,Spain,EPL,1,4,,,188cm,92kg,28
2010/2011,Michaël Essien,Chelsea,85,CM,Ghana,EPL,3,4,,,177cm,85kg,28
2010/2011,Andrey Arshavin,Arsenal,85,LW,Russia,EPL,4,5,,,172cm,69kg,29
2010/2011,David Silva,Manchester City,85,CAM,Spain,EPL,4,3,,,171cm,67kg,25
2010/2011,Shay Given,Manchester City,84,GK,Republic of Ireland,EPL,1,3,,,185cm,83kg,35
2010/2011,Ashley Cole,Chelsea,84,LWB,England,EPL,3,3,,,176cm,67kg,30
2010/2011,Rafael van der Vaart,Tottenham Hotspur,84,CAM,Netherlands,EPL,4,4,,,176cm,74kg,28
2010/2011,Florent Malouda,Chelsea,84,LM,France,EPL,3,4,,,181cm,73kg,30
2010/2011,Petr Cech,Chelsea,84,GK,Czech Republic,EPL,1,3,,,196cm,91kg,29
